"DivisionName"                                  , "DivisionEnrollments", "As Of"
"A - Division BASEBALL (League Age 7-8)"        , "31"                 , "2025-12-16"
"AA - Division BASEBALL (League Age 8-9)"       , "59"                 , "2025-12-16"
"AAA - Division BASEBALL (League Age 10-11)"    , "22"                 , "2025-12-16"
"Juniors - Division BASEBALL (League Age 13-14)", "9"                  , "2025-12-16"
"Kindergarten Coach Pitch (League Age 6 & 7)"   , "40"                 , "2025-12-16"
"Majors - Division BASEBALL (League Age 11-12)" , "33"                 , "2025-12-16"
"Seniors - Division BASEBALL (League Age 15-16)", "1"                  , "2025-12-16"
"Tee-ball Division (League Age 5-6)"            , "24"                 , "2025-12-16"
"TOTAL"                                         , "219"                , "2025-12-16"
